City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,salinopolis,-0.6136,-47.3561,85.53,64,24,13.89,BR,1635271307
85,vaini,-21.2,-175.2,73.71,70,95,18.3,TO,1635271310
86,tombouctou,20.0,-3.0,91.31,15,65,5.84,ML,1635271312
87,inhambane,-23.865,35.3833,73.09,77,1,12.82,MZ,1635271315
88,bengkulu,-3.8004,102.2655,76.03,90,100,5.23,ID,1635270869
89,corrente,-3.7367,-43.3394,99.41,26,3,4.47,BR,1635271319
90,east london,-33.0153,27.9116,66.79,80,88,21.54,ZA,1635271322
91,bambous virieux,-20.3428,57.7575,74.21,72,29,15.68,MU,1635271324
92,kodiak,57.79,-152.4072,38.28,78,100,10.85,US,1635271327
93,muros,42.7762,-9.0603,66.7,76,22,4.12,ES,1635270931
94,quatre cocos,-20.2078,57.7625,74.08,72,34,16.08,MU,1635271331
95,port-gentil,-0.7193,8.7815,79.0,84,97,11.45,GA,1635271333
96,pevek,69.7008,170.3133,11.48,95,100,11.56,RU,1635271336
97,saint-philippe,-21.3585,55.7679,72.99,79,42,12.59,RE,1635270814
98,sisophon,13.5859,102.9737,74.08,86,98,6.46,KH,1635271340
99,ushuaia,-54.8,-68.3,47.86,66,40,11.5,AR,1635271086
100,biltine,14.5333,20.9167,89.44,16,33,10.45,TD,1635271345
101,kikwit,-5.041,18.8162,75.58,80,81,1.36,CD,1635271347
102,adrar,20.5022,-10.0711,91.35,15,66,8.28,MR,1635271349
103,ihosy,-22.4,46.1167,71.04,73,10,8.12,MG,1635271352
104,maraa,-1.8333,-65.3667,84.9,74,99,2.82,BR,1635271354
105,rustenburg,-25.6676,27.2421,76.41,46,81,6.96,ZA,1635271356
106,bentonville,36.3728,-94.2088,70.02,67,90,11.99,US,1635271247
107,tokur,53.1333,132.9,29.97,99,100,1.74,RU,1635271361
108,muroto,33.2833,134.15,66.87,67,71,5.97,JP,1635271363
109,hambantota,6.1241,81.1185,78.53,82,99,5.97,LK,1635271366
110,port macquarie,-31.4333,152.9167,59.9,100,40,0.0,AU,1635271289
111,saldanha,-33.0117,17.9442,78.85,56,79,12.75,ZA,1635271030
112,mar del plata,-38.0023,-57.5575,84.22,60,0,5.99,AR,1635270685
113,khatanga,71.9667,102.5,2.86,97,100,3.87,RU,1635270969
114,gaoual,11.75,-13.2,81.03,81,96,1.34,GN,1635271383
115,sept-iles,50.2001,-66.3821,49.05,67,65,3.0,CA,1635271213
116,oyem,1.5995,11.5793,68.83,94,76,1.52,GA,1635271388
117,iqaluit,63.7506,-68.5145,31.73,80,40,15.01,CA,1635271390
118,khani,41.9563,42.9566,33.37,74,4,5.68,GE,1635271392
119,paamiut,61.994,-49.6678,36.39,54,0,9.95,GL,1635271395
120,koumac,-20.5667,164.2833,71.8,80,87,3.02,NC,1635271397
121,ewo,-0.8725,14.8206,74.91,88,88,0.36,CG,1635271399
122,bluff,-46.6,168.3333,51.39,92,100,2.84,NZ,1635271271
123,jinchang,38.4953,102.1739,40.57,76,93,7.34,CN,1635271404
124,manaus,-3.1019,-60.025,88.3,74,40,5.75,BR,1635271121
125,atuona,-9.8,-139.0333,77.29,68,61,15.9,PF,1635271408
126,ancud,-41.8697,-73.8203,57.42,83,100,10.38,CL,1635271325
127,sibolga,1.7427,98.7792,75.92,94,100,0.72,ID,1635271413
128,obihiro,42.9172,143.2044,44.73,89,89,3.0,JP,1635271415
129,katherine,-14.4667,132.2667,84.52,65,12,5.75,AU,1635271418
130,shelburne,44.0787,-80.2041,40.57,98,100,16.71,CA,1635271224
131,tuktoyaktuk,69.4541,-133.0374,28.18,95,100,4.85,CA,1635271424
132,fairbanks,64.8378,-147.7164,29.1,94,99,0.94,US,1635271391
133,araouane,18.9048,-3.5265,92.17,14,38,7.67,ML,1635271433
134,antofagasta,-23.65,-70.4,67.57,60,2,8.14,CL,1635271324
135,arani,12.6667,79.2833,75.88,84,96,1.99,IN,1635271437
136,andijon,40.7821,72.3442,53.46,25,73,4.34,UZ,1635271440
137,teknaf,20.8624,92.3058,77.59,82,88,2.3,BD,1635271442
138,bilibino,68.0546,166.4372,-14.78,100,100,0.92,RU,1635271445
139,sur,22.5667,59.5289,80.24,75,0,9.86,OM,1635271447
140,kavaratti,10.5669,72.642,82.56,73,59,15.28,IN,1635271449
